District_Name,Year,Annual,Kharif,Summer,Winter,Autumn,Rabi
Adilabad,2000,1059.9,806.1,188.6,26.6,54.9,64.7
Adilabad,2001,1322.4,975.6,226.4,94.6,103.4,103.4
Adilabad,2002,1539.6,826.7,250.2,3.1,368.1,368.1
Adilabad,2003,1052.5,815.5,167.4,12.3,66.4,66.4
Adilabad,2004,1108.6,713.1,207.1,90.2,126.6,175.9
Adilabad,2005,1367.0,969.6,273.1,14.0,83.4,83.4
Adilabad,2006,989.1,616.0,294.7,17.1,64.5,64.5
Adilabad,2007,1223.4,871.7,327.7,10.8,6.9,7.0
Adilabad,2008,1176.3,656.5,379.8,27.1,129.4,129.4
Adilabad,2009,877.8,573.7,239.8,4.9,37.3,37.3
Adilabad,2010,1191.0,895.5,183.4,46.3,106.1,107.2
Adilabad,2011,835.7,584.6,161.9,112.4,44.1,44.1
Adilabad,2012,1500.4,1027.3,219.3,18.4,122.8,141.2
Adilabad,2013,1473.1,1096.4,274.9,0.0,101.7,101.7
Adilabad,2014,1094.5,797.2,242.3,10.2,55.0,55.0
Adilabad,2015,1235.7,921.6,267.2,0.5,36.3,36.8
Adilabad,2016,754.1,508.2,147.3,19.2,98.4,98.8
Adilabad,2017,1595.2,1305.3,122.1,21.9,140.1,148.8
Adilabad,2018,818.5,645.1,152.9,61.4,7.2,7.2
Agra,2000,624.6,567.3,40.6,32.5,4.6,4.6
Agra,2001,705.1,614.8,57.7,33.3,0.1,0.1
Agra,2002,780.1,688.0,57.8,67.0,0.0,0.9
Agra,2003,1039.1,719.5,240.4,4.8,13.1,13.1
Agra,2004,398.4,261.3,96.9,20.4,18.1,35.4
Agra,2005,681.9,575.6,72.4,4.5,30.8,30.8
Agra,2006,762.5,646.7,51.8,2.6,59.4,59.6
Agra,2007,459.2,401.9,54.2,0.8,0.5,0.5
Agra,2008,559.4,383.5,153.6,65.0,21.6,21.6
Agra,2009,450.3,310.8,57.0,30.3,8.0,17.5
Agra,2010,689.0,603.1,55.2,28.9,0.0,9.8
Agra,2011,492.1,396.5,34.2,5.4,42.3,42.3
Agra,2012,524.7,489.9,28.0,1.4,0.0,1.4
Agra,2013,391.5,298.5,88.8,63.5,4.1,4.3
Agra,2014,407.4,247.7,95.3,1.9,0.9,1.2
Agra,2015,796.0,594.9,199.4,2.8,0.0,0.0
Agra,2016,364.4,274.0,12.1,13.6,73.3,75.3
Agra,2017,569.0,515.4,17.7,15.2,22.7,24.3
Agra,2018,723.0,537.0,172.4,0.2,0.0,0.0
Ahmadabad,2000,615.2,542.1,52.8,3.7,20.0,20.0
Ahmadabad,2001,1010.3,888.4,118.2,0.0,0.0,0.0
Ahmadabad,2002,447.9,433.0,2.5,0.8,12.1,12.6
Ahmadabad,2003,688.2,564.7,100.8,0.4,22.3,22.3
Ahmadabad,2004,868.5,427.1,436.2,0.0,4.8,4.8
Ahmadabad,2005,737.1,577.9,82.3,1.5,76.8,76.8
Ahmadabad,2006,543.8,318.8,157.5,0.0,66.0,66.0
Ahmadabad,2007,563.3,461.3,100.6,6.0,0.1,1.4
Ahmadabad,2008,659.3,483.0,165.1,0.0,6.5,6.5
Ahmadabad,2009,387.5,221.1,166.2,0.4,0.2,0.2
Ahmadabad,2010,798.5,705.5,92.5,0.0,0.1,0.1
Ahmadabad,2011,778.9,646.7,112.3,0.0,19.8,19.8
Ahmadabad,2012,1011.6,744.6,266.7,0.0,0.2,0.2
Ahmadabad,2013,1081.4,961.1,118.2,0.7,2.1,2.1
Ahmadabad,2014,1106.5,1018.4,85.9,0.0,1.5,1.5
Ahmadabad,2015,790.6,726.3,60.6,2.5,1.1,3.6
Ahmadabad,2016,365.7,354.1,2.5,0.7,9.0,9.0
Ahmadabad,2017,1118.2,1015.5,52.5,0.2,49.3,49.5
Ahmadabad,2018,987.6,902.8,84.8,27.1,0.0,0.0
Ahmadnagar,2000,668.1,351.4,76.9,61.6,181.4,239.9
Ahmadnagar,2001,463.8,244.8,144.6,12.7,71.4,71.4
Ahmadnagar,2002,514.7,342.5,64.9,0.0,94.7,94.7
Ahmadnagar,2003,693.9,440.8,98.7,1.0,154.0,154.3
Ahmadnagar,2004,568.7,275.4,84.5,48.7,159.5,208.2
Ahmadnagar,2005,874.5,555.9,136.5,14.8,182.1,182.1
Ahmadnagar,2006,951.0,523.5,227.9,0.1,184.8,184.8
Ahmadnagar,2007,589.8,314.5,215.9,3.9,57.5,59.2
Ahmadnagar,2008,570.7,311.0,93.9,4.2,163.5,163.6
Ahmadnagar,2009,486.9,223.7,228.7,2.0,30.4,30.4
Ahmadnagar,2010,400.1,273.6,92.2,0.4,31.9,32.2
Ahmadnagar,2011,729.4,445.8,195.0,6.1,88.4,88.4
Ahmadnagar,2012,2839.4,2012.9,750.4,0.0,69.9,69.9
Ahmadnagar,2013,796.4,527.2,197.0,9.9,72.2,72.2
Ahmadnagar,2014,611.0,393.4,207.5,0.0,0.2,0.2
Ahmadnagar,2015,631.7,516.9,53.7,0.0,61.1,61.1
Ahmadnagar,2016,757.0,428.1,103.0,4.8,223.7,225.7
Ahmadnagar,2017,863.4,542.0,183.6,0.9,134.5,135.0
Ahmadnagar,2018,505.6,399.9,59.0,12.0,46.4,46.4
Aizawl,2000,3344.5,1439.2,1385.9,71.0,210.8,210.8
Aizawl,2001,1000.1,377.8,502.4,40.9,49.0,49.0
Aizawl,2002,2275.1,1156.6,868.2,21.5,209.4,209.4
Aizawl,2003,2088.1,1179.4,759.2,28.9,127.9,127.9
Aizawl,2004,2564.1,1388.1,1046.2,101.9,56.8,100.9
Aizawl,2005,2577.6,1201.9,1193.3,1.7,122.9,124.5
Aizawl,2006,2720.9,1492.2,882.7,48.3,345.5,346.0
Aizawl,2007,3500.0,1726.9,1472.2,60.4,253.3,253.3
Aizawl,2008,2852.4,1234.6,994.8,20.0,562.6,562.6
Aizawl,2009,2274.2,1014.7,958.4,38.9,258.9,281.2
Aizawl,2010,2652.6,1071.2,1215.2,170.7,187.4,349.6
Aizawl,2011,3177.3,1442.2,1538.8,72.8,180.8,187.6
Aizawl,2012,2603.7,1196.4,1185.2,46.0,155.3,156.3
Aizawl,2013,2107.0,855.6,1091.3,116.6,115.3,115.3
Aizawl,2014,2855.2,1229.9,1217.5,52.6,290.5,291.3
Aizawl,2015,2977.6,1866.9,775.6,21.8,277.8,283.2
